Run,Time(s),CPU(%),Memory(MB)
1,0.322186,6.08,0.00
2,0.270415,14.87,0.00
3,0.278984,17.08,0.00
4,0.283552,9.72,0.00
5,0.278509,10.15,0.42
6,0.273974,13.88,0.00
7,0.289473,13.23,0.05
8,0.286550,9.27,0.00
9,0.286782,15.92,0.00
10,0.289052,13.23,0.00
