Run,Time(s),CPU(%),Memory(MB)
1,1.478418,14.15,2.01
2,1.475941,14.20,0.43
3,1.474384,13.55,0.00
4,1.594506,20.55,0.00
5,1.514830,21.55,0.00
6,1.602787,19.55,0.00
7,1.622387,18.20,0.00
8,1.644862,22.10,0.00
9,1.475622,26.95,0.00
10,1.540550,16.25,0.00
