Run,Time(s),CPU(%),Memory(MB)
1,0.003347,0.00,0.00
2,0.000767,10.00,0.00
3,0.000585,0.00,0.45
4,0.000495,0.00,0.00
5,0.000515,0.00,0.00
6,0.000467,0.00,0.00
7,0.000435,0.00,0.44
8,0.000480,0.00,0.00
9,0.000469,0.00,0.00
10,0.000477,0.00,0.00
