Run,Time(s),CPU(s),Memory(MB)
1,0.186933,18.1319,0.00
2,0.187499,18.3011,0.00
3,0.183834,18.2824,0.00
4,0.174563,17.3712,0.00
5,0.189595,18.5941,0.00
6,0.174688,17.3802,0.00
7,0.172747,17.1939,0.00
8,0.175605,17.4616,0.00
9,0.181849,18.0760,0.00
10,0.174934,17.4088,0.00
