Run,Time(s),CPU(s),Memory(MB)
1,0.001413,0.1406,0.00
2,0.001185,0.1180,0.00
3,0.001081,0.1047,0.00
4,0.001378,0.1374,0.00
5,0.001336,0.1331,0.00
6,0.001353,0.1345,0.00
7,0.001356,0.1353,0.00
8,0.001411,0.1403,0.00
9,0.001402,0.1396,0.00
10,0.001403,0.1398,0.00
