Run,Time(s),CPU(%),Memory(MB)
1,0.011815,12.15,0.07
2,0.011058,5.55,0.00
3,0.011046,10.00,0.00
4,0.010924,5.55,0.00
5,0.010842,5.55,0.00
6,0.011797,30.55,0.00
7,0.010956,10.00,0.00
8,0.011072,38.90,0.00
9,0.010833,5.55,0.00
10,0.010921,5.55,0.00
