Run,Time(s),CPU(%),Memory(MB)
1,0.005590,25.00,0.00
2,0.002100,61.11,0.00
3,0.002616,25.00,0.00
4,0.002501,25.00,0.00
5,0.002488,0.00,0.00
6,0.002544,16.67,0.00
7,0.002534,0.00,0.00
8,0.002314,25.00,0.46
9,0.002474,50.00,0.00
10,0.002504,50.00,0.00
