Run,Time(s),CPU(s),Memory(MB)
1,0.022610,2.2483,0.00
2,0.030541,3.0431,0.00
3,0.020171,2.0119,0.00
4,0.020165,2.0098,0.00
5,0.020569,2.0483,0.00
6,0.020174,2.0110,0.00
7,0.020134,2.0071,0.00
8,0.020244,2.0185,0.00
9,0.020158,2.0096,0.00
10,0.020208,2.0133,0.00
