Run,Time(s),CPU(%),Memory(MB)
1,0.089655,24.05,0.30
2,0.088682,7.05,0.01
3,0.088378,14.20,0.00
4,0.087751,15.50,0.00
5,0.088369,14.40,0.00
6,0.089451,16.20,0.00
7,0.089388,16.10,0.00
8,0.087806,14.30,0.00
9,0.088028,14.30,0.00
10,0.088539,13.60,0.00
