Run,Time(s),CPU(%),Memory(MB)
1,0.003605,0.00,0.00
2,0.000853,40.00,0.00
3,0.000667,0.00,0.00
4,0.000638,50.00,0.00
5,0.000697,0.00,0.00
6,0.000620,25.00,0.00
7,0.000533,0.00,0.22
8,0.000540,0.00,0.00
9,0.000544,0.00,0.00
10,0.000534,0.00,0.00
