Run,Time(s),CPU(%),Memory(MB)
1,14.066859,19.95,8.03
2,14.879518,19.45,5.89
3,14.916579,20.30,4.92
4,14.856574,19.30,4.92
5,13.970945,20.90,3.94
6,13.868172,13.90,3.94
7,13.947912,13.35,3.94
8,14.220880,17.05,3.94
9,13.730439,14.20,3.94
10,13.885806,13.85,3.94
