Run,Time(s),CPU(%),Memory(MB)
1,0.000116,0.00,0.00
2,0.000103,0.00,0.00
3,0.000106,0.00,0.00
4,0.000110,50.00,0.00
5,0.000099,0.00,0.00
6,0.000100,0.00,0.00
7,0.000099,0.00,0.00
8,0.000096,0.00,0.00
9,0.000096,0.00,0.00
10,0.000098,0.00,0.00
